Athlete,Time,School,Course,Year
Sarah Sheena,19:34.3,Walled Lake Western,MIS,2018
Madylin McLean,19:34.4,Traverse City Central,MIS,2018
Olivia Harp,19:34.7,Northville,MIS,2018
Brooke Hinkelman,19:35.6,Temperance Bedford,MIS,2018
Ella Woehlke,19:36.5,Saline,MIS,2018
Morgan Crompton,19:37.0,Brighton,MIS,2018
Kayla Eklund,19:37.1,Richland Gull Lake,MIS,2018
Lexie Allshouse,19:37.3,Rockford,MIS,2018
Shayna Altvater,19:38.3,Holland,MIS,2018
Sara Michalik,19:40.8,Grosse Pointe North,MIS,2018
Bailey Ewen,19:42.0,Rockford,MIS,2018
Alyssa Dorn,19:42.0,Temperance Bedford,MIS,2018
Jadyn Elliott,19:42.3,Jackson,MIS,2018
Lauren Monaghan,19:43.0,Troy,MIS,2018
Sarah Nondorf,19:43.9,Mattawan,MIS,2018
Tess Piper,19:44.0,Holt,MIS,2018
Callie Hastie,19:44.1,Ann Arbor Huron,MIS,2018
Paige Cristea,19:44.6,Plymouth,MIS,2018
Alexa Stern,19:44.6,Saline,MIS,2018
Ellie Voetberg,19:44.9,Portage Central,MIS,2018
Abby Buitenhuis,19:45.5,Grand Haven,MIS,2018
Kiersten McBride,19:45.8,Salem,MIS,2018
Emily Grob,19:46.0,Fenton,MIS,2018
Madison Cook,19:46.5,Hudsonville,MIS,2018
Kiera Snyder,19:46.6,Port Huron Northern,MIS,2018
Whitney Currie,19:47.3,FHC GR_Forest Hills Central,MIS,2018
Elizabeth Bennett,19:47.3,Rockford,MIS,2018
Katie Frauenheim,19:48.2,Holland West Ottawa,MIS,2018
Gina Couyoumjian,19:48.5,Northville,MIS,2018
Marissa Henry,19:48.9,Salem,MIS,2018
Sydney Tran,19:50.2,FHN GR_Forest Hills Northern,MIS,2018
Skylar Grubb,19:50.5,Highland-Milford,MIS,2018
Emma Murray,19:51.4,Berkley,MIS,2018
Kaia Denhof,19:51.4,Holland West Ottawa,MIS,2018
Erin Seibert,19:52.3,Livonia Franklin,MIS,2018
Ellen Gerhard,19:52.5,Traverse City Central,MIS,2018
Yasmine Mansi,19:52.9,Northville,MIS,2018
Andrea Barreto,19:53.1,Utica Eisenhower,MIS,2018
Jessica Adams,19:53.3,Fenton,MIS,2018
Bridget Nelson,19:53.3,Salem,MIS,2018
Lauren Garbovits,19:56.5,White Lake Lakeland,MIS,2018
Erin Swartz,19:57.1,Troy Athens,MIS,2018
Abby Hunter,19:57.7,Traverse City West,MIS,2018
Karissa Picard,19:57.7,Bay City Western,MIS,2018
Hanna Chapin,19:58.5,Fenton,MIS,2018
Sarah Greb,20:00.5,Romeo,MIS,2018
Klaire Schott,20:01.4,Brownstown Woodhaven,MIS,2018
Madison Foster,20:01.6,Temperance Bedford,MIS,2018
Erika Rapp,20:01.7,Pinckney,MIS,2018
Taylor Yaklich,20:02.8,Saline,MIS,2018
Ashley Quinn,20:02.8,Romeo,MIS,2018
Carly Postma,20:03.2,Caledonia,MIS,2018
Grace Fletter,20:04.0,FHN GR_Forest Hills Northern,MIS,2018
Nyla Griffin,20:04.2,Pinckney,MIS,2018
Iris Swarthout,20:04.8,Holland West Ottawa,MIS,2018
Taylor Schott,20:05.7,Holland West Ottawa,MIS,2018
Barret Schettler,20:06.5,Romeo,MIS,2018
Carly Maynard,20:07.7,Rockford,MIS,2018
Paige Anderson,20:09.3,Troy,MIS,2018
Zoe Louis,20:09.9,Hudsonville,MIS,2018
Rachel Felstow,20:09.9,Romeo,MIS,2018
Emily Endebrock,20:10.4,Howell,MIS,2018
Sophia Lirio,20:10.9,Hudsonville,MIS,2018
Alison Donnini,20:11.0,Birmingham Seaholm,MIS,2018
Alli Smith,20:12.6,Temperance Bedford,MIS,2018
Katie Carothers,20:13.6,Brighton,MIS,2018
Gabbi Taylor,20:13.9,FHN GR_Forest Hills Northern,MIS,2018
Alayna Babcock,20:14.4,East Kentwood,MIS,2018
Hallie Younglas,20:14.6,Salem,MIS,2018
Alicia Sabin,20:15.4,Hudsonville,MIS,2018
Alison Hankins,20:17.7,Traverse City Central,MIS,2018
Olivia Ames,20:18.9,Lake Orion,MIS,2018
Naomi Dykstra,20:19.3,GR_Ottawa Hills,MIS,2018
Olivia Huszti,20:19.4,Highland-Milford,MIS,2018
Grace Jenkins,20:20.8,Bloomfield Hills,MIS,2018
Lexi Deighan,20:21.2,Birmingham Seaholm,MIS,2018
Reagan McNally,20:21.7,Birmingham Seaholm,MIS,2018
Emily Rennich,20:22.3,Ann Arbor Pioneer,MIS,2018
Kayley Porter,20:23.3,FHN GR_Forest Hills Northern,MIS,2018
Kyra Karfonta,20:23.4,South Lyon,MIS,2018
Lindsey Peters,20:23.8,Caledonia,MIS,2018
Annabelle Mowers,20:26.1,White Lake Lakeland,MIS,2018
Jenna Kral,20:26.2,Hudsonville,MIS,2018
Maddie Brown,20:26.7,Brighton,MIS,2018
Hannah Tsiang,20:28.8,Brighton,MIS,2018
Abby Locke,20:29.0,Lake Orion,MIS,2018
Makayla Orner,20:29.3,Temperance Bedford,MIS,2018
Sydney Chura,20:29.4,Highland-Milford,MIS,2018
Natalie Black,20:29.7,Highland-Milford,MIS,2018
Samantha Shaw,20:30.0,Howell,MIS,2018
Brooke Myers,20:32.7,FHN GR_Forest Hills Northern,MIS,2018
Emily House,20:32.8,Brighton,MIS,2018
Kara Crofoot,20:33.7,Traverse City West,MIS,2018
Barbara DeGood,20:37.1,Caledonia,MIS,2018
Isadora Halsband,20:39.2,Bloomfield Hills,MIS,2018
Jessica Pennala,20:39.9,Howell,MIS,2018
Emily Laird,20:41.4,Holland West Ottawa,MIS,2018
Natalie Molotky,20:41.7,Romeo,MIS,2018
Lucy Potts,20:43.7,Sterling Heights Stevenson,MIS,2018
Riley Thompson,20:45.1,Rockford,MIS,2018
Holly Bowling,20:46.6,Caledonia,MIS,2018
Victoria Pargoff,20:47.3,Howell,MIS,2018
Ashlyn Tait,20:48.0,Howell,MIS,2018
Talia Wilder,20:48.1,Caledonia,MIS,2018
Aileen Liu,20:48.6,Troy,MIS,2018
Audrey Braund,20:48.7,Traverse City West,MIS,2018
Emily Stabinsky,20:49.6,Troy,MIS,2018
Samantha Yamin,20:53.1,Bloomfield Hills,MIS,2018
Ella Ryan,20:54.4,Ann Arbor Pioneer,MIS,2018
Kate Heidema,20:55.5,Hudsonville,MIS,2018
Morgan Waggoner,20:56.0,Brighton,MIS,2018
Lindsay Ripple,20:59.3,Plymouth,MIS,2018
Emma Notaro,21:00.8,Brighton,MIS,2018
Blake Mueller,21:01.8,Bay City Western,MIS,2018
Erin DiMarzo,21:02.7,Bloomfield Hills,MIS,2018
Elise Wilhelm,21:03.3,Clarkston,MIS,2018
Elaina Schwendenmann,21:03.5,Highland-Milford,MIS,2018
Alyssa Kanclerz,21:04.9,Howell,MIS,2018
Abigail Jean,21:06.4,Traverse City West,MIS,2018
Emma Moore,21:07.5,Pinckney,MIS,2018
Gabrielle Mancini,21:10.2,Salem,MIS,2018
Aria Novello,21:14.5,White Lake Lakeland,MIS,2018
Ana White,21:16.0,Plymouth,MIS,2018
Clare Bridgewater,21:17.2,White Lake Lakeland,MIS,2018
Isabelle Easton,21:20.1,Temperance Bedford,MIS,2018
Kate Meinecke,21:20.1,Royal Oak,MIS,2018
Maureen Girardot,21:23.8,Birmingham Seaholm,MIS,2018
Emily Broman,21:24.9,White Lake Lakeland,MIS,2018
Leah O'Leary,21:28.3,Lake Orion,MIS,2018
Cassidy Jankens,21:29.9,Bay City Western,MIS,2018
Anna Dood,21:29.9,FHN GR_Forest Hills Northern,MIS,2018
Rihana Pellow,21:32.7,GR_Ottawa Hills,MIS,2018
Sasha Fox,21:35.2,Plymouth,MIS,2018
Susie Pompi,21:37.3,Birmingham Seaholm,MIS,2018
Laura Bonds,21:38.5,Plymouth,MIS,2018
Abby Kerr,21:39.3,Troy,MIS,2018
Rochelle Smith,21:40.0,Lake Orion,MIS,2018
Grace Hoover,21:48.8,Birmingham Seaholm,MIS,2018
Amaia Pellow,21:49.1,GR_Ottawa Hills,MIS,2018
Emma Munro,21:50.9,Northville,MIS,2018
Madison Savage,21:50.9,Howell,MIS,2018
Zofia Dudek,17:04.1,Ann Arbor Pioneer,Lake Erie,2019
Sarah Forsyth,18:04.7,Ann Arbor Pioneer,Lake Erie,2019
Madi Wood,18:04.9,Saline,Lake Erie,2019
Cookie Baugh,18:46.5,Ann Arbor Pioneer,Lake Erie,2019
Briana Vojinov,18:59.6,Brownstown Woodhaven,Lake Erie,2019
Charlotte Batra,19:08.0,Ann Arbor Pioneer,Lake Erie,2019
Nicole Dillmann,19:09.1,Saline,Lake Erie,2019
Anna Vogel,19:12.4,Ann Arbor Pioneer,Lake Erie,2019
Katie Dietrich,19:13.6,Brownstown Woodhaven,Lake Erie,2019
Lisa Luecke,19:25.3,Allen Park,Lake Erie,2019
Samantha Cost,19:25.7,Wyandotte Roosevelt,Lake Erie,2019
Isabella Johnson,19:26.6,Temperance Bedford,Lake Erie,2019
Madison Stern,19:28.6,Saline,Lake Erie,2019
Ally Betkey,19:32.4,Temperance Bedford,Lake Erie,2019
Claire Endres,19:35.8,Saline,Lake Erie,2019
Alyssa Dorn,19:41.7,Temperance Bedford,Lake Erie,2019
Mallory Emeigh,19:46.4,Allen Park,Lake Erie,2019
Anna Dudek,19:53.0,Ann Arbor Pioneer,Lake Erie,2019
Madison Foster,19:57.3,Temperance Bedford,Lake Erie,2019
Jenna Allman,19:59.3,Saline,Lake Erie,2019
Makayla Orner,20:01.4,Temperance Bedford,Lake Erie,2019
Sydney Dec,20:03.0,Temperance Bedford,Lake Erie,2019
Rachel Bullock,20:12.3,Dearborn,Lake Erie,2019
Brooke Berridge,20:14.5,Brownstown Woodhaven,Lake Erie,2019
Ella Woehlke,20:19.1,Saline,Lake Erie,2019
Rebekah Asselin,20:20.2,Temperance Bedford,Lake Erie,2019
Bridgette Dudley,20:21.4,Monroe,Lake Erie,2019
Danielle Armstrong,20:30.4,Ann Arbor Pioneer,Lake Erie,2019
Grace Bogdanski,20:32.2,Ypsilanti Lincoln,Lake Erie,2019
Aubrey Migoski,20:41.2,Wyandotte Roosevelt,Lake Erie,2019
Haley Greene,20:41.8,Saline,Lake Erie,2019
Caroline Stone,20:44.8,Ypsilanti Lincoln,Lake Erie,2019
Rylie Scharlach,20:48.4,Ypsilanti Lincoln,Lake Erie,2019
Mackenzie Lada,20:53.1,Allen Park,Lake Erie,2019
Zeina Jebara,20:55.3,Dearborn Heights Crestwood,Lake Erie,2019
Grace Finley,20:56.8,Monroe,Lake Erie,2019
Morgan Kay,20:58.5,Monroe,Lake Erie,2019
Callie Francisco,21:33.5,Monroe,Lake Erie,2019
Chloe Gunter,21:35.2,Monroe,Lake Erie,2019
Meagan Dougherty,21:41.1,Ypsilanti Lincoln,Lake Erie,2019
Lena Hales,21:47.3,Southgate Anderson,Lake Erie,2019
Melanie Macias,21:58.5,Ypsilanti Lincoln,Lake Erie,2019
Erin Dougherty,22:01.6,Ypsilanti Lincoln,Lake Erie,2019
Paige Chinavare,22:05.5,Wyandotte Roosevelt,Lake Erie,2019
Grace Norton,22:06.2,Gibraltar Carlson,Lake Erie,2019
Grace Hecker,22:14.4,Lincoln Park,Lake Erie,2019
Azayla Ensley,22:14.7,Lincoln Park,Lake Erie,2019
Luci Granata,22:15.5,Allen Park,Lake Erie,2019
Sienna Schotten,22:15.9,Ypsilanti Lincoln,Lake Erie,2019
Karly Bundon,22:21.7,Monroe,Lake Erie,2019
Julia Mills,22:23.2,Gibraltar Carlson,Lake Erie,2019
Kasandra Panyek,22:32.1,Lincoln Park,Lake Erie,2019
Kylie Iwasko,22:35.9,Gibraltar Carlson,Lake Erie,2019
Abby Raftis,22:42.7,Allen Park,Lake Erie,2019
Kelly Cassette,22:43.6,Brownstown Woodhaven,Lake Erie,2019
Skyila Shuryan,22:47.0,Wayne Memorial,Lake Erie,2019
Sarah Gragouri,22:51.3,Dearborn Heights Crestwood,Lake Erie,2019
Ciara Bazan,22:51.7,Wayne Memorial,Lake Erie,2019
Jasmine Dodson,23:09.8,Gibraltar Carlson,Lake Erie,2019
Yasmine Rababeh,23:14.7,Dearborn,Lake Erie,2019
Angela Garcia,23:18.4,Dearborn,Lake Erie,2019
Sydney Rosbury,23:25.8,Dearborn,Lake Erie,2019
Keelyn Blake,23:28.6,Dearborn,Lake Erie,2019
Paulina Rosas,23:29.0,Southgate Anderson,Lake Erie,2019
Loryl Erdos,23:29.5,Allen Park,Lake Erie,2019
Jaelin Papiez,23:30.2,Gibraltar Carlson,Lake Erie,2019
Ashley Rathbun,23:32.5,Monroe,Lake Erie,2019
Maggie Stanley,23:35.1,Southgate Anderson,Lake Erie,2019
Hannah Smith,23:36.4,Brownstown Woodhaven,Lake Erie,2019
Carla Ajami,23:42.7,Dearborn Edsel Ford,Lake Erie,2019
Lily Gauvin,23:49.4,Wyandotte Roosevelt,Lake Erie,2019
Amanda Balinski,23:50.2,Gibraltar Carlson,Lake Erie,2019
Savanna Pierson,23:52.3,Lincoln Park,Lake Erie,2019
Dana Avery,23:53.9,Brownstown Woodhaven,Lake Erie,2019
Lily Tase,23:56.6,Wayne Memorial,Lake Erie,2019
Faith Plummer,23:57.4,Southgate Anderson,Lake Erie,2019
Celine Chahine,24:09.5,Dearborn Heights Crestwood,Lake Erie,2019
Reem Damli,24:14.6,Dearborn Edsel Ford,Lake Erie,2019
Nora Heaton,24:14.9,Dearborn Edsel Ford,Lake Erie,2019
Noelle Robertson,24:15.6,Wyandotte Roosevelt,Lake Erie,2019
Megan Flack,24:31.2,Dearborn Edsel Ford,Lake Erie,2019
Marissa Adair,24:42.7,Dearborn,Lake Erie,2019
Maya Hamze,24:46.8,Dearborn Fordson,Lake Erie,2019
Sara Moughni,24:47.8,Dearborn,Lake Erie,2019
Maya Hassenflug,25:04.8,Dearborn Heights Crestwood,Lake Erie,2019
Natalie Packwood,25:10.0,Southgate Anderson,Lake Erie,2019
Rukhaya Ouza,25:16.1,Dearborn Fordson,Lake Erie,2019
Maggie Guerney,25:16.4,Dearborn Heights Crestwood,Lake Erie,2019
Lili Fezanni,25:21.3,Dearborn Heights Crestwood,Lake Erie,2019
Autumn Simms,25:21.6,Brownstown Woodhaven,Lake Erie,2019
Annalyse Hudson,25:22.1,Southgate Anderson,Lake Erie,2019
Bushra Fawaz,25:25.4,Dearborn Heights Crestwood,Lake Erie,2019
Alyssa DeLong,25:37.6,Wyandotte Roosevelt,Lake Erie,2019
Valeria Lopez-Hernandez,25:39.7,Lincoln Park,Lake Erie,2019
Fatima Jimenez,25:46.0,Lincoln Park,Lake Erie,2019
Nikki Hartley,26:10.0,Allen Park,Lake Erie,2019
Riley Angileri,26:17.9,Southgate Anderson,Lake Erie,2019
Dorothy Winters,26:40.2,Wayne Memorial,Lake Erie,2019
Abigail Polakowski,27:18.4,Gibraltar Carlson,Lake Erie,2019
Sofia Vazquez,27:41.1,Lincoln Park,Lake Erie,2019
Zahraa Boussi,27:56.7,Dearborn Fordson,Lake Erie,2019
Ryan Burpee,28:50.4,Dearborn Edsel Ford,Lake Erie,2019
Emma Sikora,29:49.1,Belleville,Lake Erie,2019
Gracie Overby,30:00.7,Belleville,Lake Erie,2019
Emily Garcia,31:37.3,Dearborn Edsel Ford,Lake Erie,2019
Zofia Dudek,18:26.9,Ann Arbor Pioneer,Lake Erie,2018
Sarah Forsyth,18:40.5,Ann Arbor Pioneer,Lake Erie,2018
Kayla Fortino,19:09.1,Saline,Lake Erie,2018
Madi Wood,19:13.3,Saline,Lake Erie,2018
Isabella Johnson,19:20.9,Temperance Bedford,Lake Erie,2018
Charlotte Batra,19:26.3,Ann Arbor Pioneer,Lake Erie,2018
Anna Vogel,19:33.7,Ann Arbor Pioneer,Lake Erie,2018
Brooke Hinkelman,19:38.5,Temperance Bedford,Lake Erie,2018
Nicole Dillmann,19:39.3,Saline,Lake Erie,2018
Mallory Dawes,19:50.2,Ann Arbor Pioneer,Lake Erie,2018
Klaire Schott,19:53.6,Brownstown Woodhaven,Lake Erie,2018
Alli Smith,19:54.9,Temperance Bedford,Lake Erie,2018
Alyssa Dorn,19:56.3,Temperance Bedford,Lake Erie,2018
Alexa Stern,19:56.9,Saline,Lake Erie,2018
Madison Stern,19:57.6,Saline,Lake Erie,2018
Madison Foster,20:01.0,Temperance Bedford,Lake Erie,2018
Mikayla Borg,20:07.2,Southgate Anderson,Lake Erie,2018
Emily Rennich,20:07.8,Ann Arbor Pioneer,Lake Erie,2018
Taylor Yaklich,20:21.5,Saline,Lake Erie,2018
Makayla Orner,20:23.4,Temperance Bedford,Lake Erie,2018
Briana Vojinov,20:27.1,Brownstown Woodhaven,Lake Erie,2018
Ella Ryan,20:27.7,Ann Arbor Pioneer,Lake Erie,2018
Rachel Bullock,20:28.3,Dearborn,Lake Erie,2018
Zeina Jebara,20:28.9,Dearborn Heights Crestwood,Lake Erie,2018
Ella Woehlke,20:31.4,Saline,Lake Erie,2018
Brooke Berridge,20:37.2,Brownstown Woodhaven,Lake Erie,2018
Mallory Emeigh,20:38.0,Allen Park,Lake Erie,2018
Sydney Kelley,20:55.3,Southgate Anderson,Lake Erie,2018
Kathryn Thornton,21:01.2,Monroe,Lake Erie,2018
Isabelle Easton,21:08.4,Temperance Bedford,Lake Erie,2018
Sienna Schotten,21:12.2,Ypsilanti Lincoln,Lake Erie,2018
Gabby Feltz,21:20.4,Wyandotte Roosevelt,Lake Erie,2018
Jordyn Burks,21:26.5,Wyandotte Roosevelt,Lake Erie,2018
Julia Mills,21:31.0,Gibraltar Carlson,Lake Erie,2018
Aubrey Migoski,21:31.7,Wyandotte Roosevelt,Lake Erie,2018
Mackenzie Lada,21:37.5,Allen Park,Lake Erie,2018
Lisa Luecke,21:44.3,Allen Park,Lake Erie,2018
Meagan Dougherty,21:46.2,Ypsilanti Lincoln,Lake Erie,2018
Keelyn Blake,21:55.8,Dearborn,Lake Erie,2018
Bridgette Dudley,22:00.1,Monroe,Lake Erie,2018
Grace Bogdanski,22:01.8,Ypsilanti Lincoln,Lake Erie,2018
Chloe Gunter,22:05.1,Monroe,Lake Erie,2018
Laila Correa,22:10.6,Wyandotte Roosevelt,Lake Erie,2018
Morgan Brossia,22:14.3,Monroe,Lake Erie,2018
Melena Sclesky,22:14.8,Allen Park,Lake Erie,2018
Kelly Cassette,22:20.2,Brownstown Woodhaven,Lake Erie,2018
Caroline Stone,22:32.9,Ypsilanti Lincoln,Lake Erie,2018
Sydney Rosbury,22:40.3,Dearborn,Lake Erie,2018
Danielle Harajli,22:42.1,Dearborn,Lake Erie,2018
Jasmina Fezzani,22:49.4,Dearborn Heights Crestwood,Lake Erie,2018
Reem Damli,22:50.1,Dearborn Edsel Ford,Lake Erie,2018
Megan Mathews,22:50.5,Allen Park,Lake Erie,2018
Malia Borg,22:50.8,Southgate Anderson,Lake Erie,2018
Jasmine Wisniewski,22:51.4,Ypsilanti Lincoln,Lake Erie,2018
Brooke Cifaldi,22:55.8,Gibraltar Carlson,Lake Erie,2018
Sophia D'Onofrio,22:59.1,Allen Park,Lake Erie,2018
Ashley Rathbun,23:07.8,Monroe,Lake Erie,2018
Hailey Winkelman,23:10.2,Monroe,Lake Erie,2018
Alex McIntosh,23:11.1,Dearborn,Lake Erie,2018
Alyssa Hughey,23:12.9,Gibraltar Carlson,Lake Erie,2018
Jaelin Papiez,23:14.4,Gibraltar Carlson,Lake Erie,2018
Caitlin Stackable,23:16.1,Brownstown Woodhaven,Lake Erie,2018
Nora Jaafar,23:17.1,Dearborn Heights Crestwood,Lake Erie,2018
Dana Avery,23:26.7,Brownstown Woodhaven,Lake Erie,2018
Angela Garcia,23:34.6,Dearborn,Lake Erie,2018
Paige Chinavare,23:36.4,Wyandotte Roosevelt,Lake Erie,2018
Judith Vazquez,23:37.1,Lincoln Park,Lake Erie,2018
Erin Dougherty,23:37.9,Ypsilanti Lincoln,Lake Erie,2018
Ella Foshag,23:56.1,Monroe,Lake Erie,2018
Yasmine Rababeh,23:59.1,Dearborn,Lake Erie,2018
Chloe Bateman,24:00.1,Allen Park,Lake Erie,2018
Jenna Boterenbrood,24:04.4,Ypsilanti Lincoln,Lake Erie,2018
Yaire Lopez,24:11.9,Lincoln Park,Lake Erie,2018
Lilianna Dow,24:16.8,Dearborn Heights Crestwood,Lake Erie,2018
Carla Ajami,24:21.9,Dearborn Edsel Ford,Lake Erie,2018
Maggie Stanley,24:22.4,Southgate Anderson,Lake Erie,2018
Hannah Smith,24:32.8,Brownstown Woodhaven,Lake Erie,2018
Ciara Bazan,24:34.2,Wayne Memorial,Lake Erie,2018
Savanah Grondy,24:38.1,Wayne Memorial,Lake Erie,2018
Noelle Robertson,24:39.3,Wyandotte Roosevelt,Lake Erie,2018
Amanda Balinski,24:43.6,Gibraltar Carlson,Lake Erie,2018
Catherine Demou,24:49.3,Southgate Anderson,Lake Erie,2018
Kaitlyn Logan,25:07.5,Wayne Memorial,Lake Erie,2018
Valeria Lopez-Hernandez,25:17.7,Lincoln Park,Lake Erie,2018
Ashley Salinas,25:22.9,Lincoln Park,Lake Erie,2018
Zofia Dudek,16:58.0,Ann Arbor Pioneer,Indian Creek,2019
Sarah Forsyth,18:20.5,Ann Arbor Pioneer,Indian Creek,2019
Madi Wood,18:35.2,Saline,Indian Creek,2019
Cookie Baugh,18:58.9,Ann Arbor Pioneer,Indian Creek,2019
Anna Vogel,19:21.8,Ann Arbor Pioneer,Indian Creek,2019
Nicole Dillmann,19:26.0,Saline,Indian Creek,2019
Charlotte Batra,19:33.6,Ann Arbor Pioneer,Indian Creek,2019
Laura O'Brien,19:35.9,Ann Arbor Skyline,Indian Creek,2019
Madison Stern,19:50.3,Saline,Indian Creek,2019
Isabella Johnson,20:00.4,Temperance Bedford,Indian Creek,2019
Madison Foster,20:04.2,Temperance Bedford,Indian Creek,2019
Anna Dudek,20:05.7,Ann Arbor Pioneer,Indian Creek,2019
Jenna Allman,20:13.3,Saline,Indian Creek,2019
Haley Greene,20:15.8,Saline,Indian Creek,2019
Alyssa Dorn,20:19.3,Temperance Bedford,Indian Creek,2019
Sam Hastie,20:20.2,Ann Arbor Huron,Indian Creek,2019
Ashley Desimone,20:38.3,Saline,Indian Creek,2019
Jenny Cantrell,20:58.0,Saline,Indian Creek,2019
Catrin Koselka,21:01.5,Ann Arbor Skyline,Indian Creek,2019
Aubrey Stager,21:01.9,Saline,Indian Creek,2019
Lydia Alig,21:10.8,Saline,Indian Creek,2019
Bridgette Dudley,21:12.5,Monroe,Indian Creek,2019
Makayla Orner,21:16.2,Temperance Bedford,Indian Creek,2019
Danielle Armstrong,21:17.4,Ann Arbor Pioneer,Indian Creek,2019
Mia Solomon,21:18.8,Ann Arbor Huron,Indian Creek,2019
Arielle Melong,21:19.3,Ann Arbor Skyline,Indian Creek,2019
Rebekah Asselin,21:24.2,Temperance Bedford,Indian Creek,2019
Helena Helme,21:25.5,Ann Arbor Huron,Indian Creek,2019
Emma Bushroe,21:27.1,Temperance Bedford,Indian Creek,2019
Royce Smith,21:36.1,Ann Arbor Huron,Indian Creek,2019
Verena Wu,21:45.9,Ann Arbor Huron,Indian Creek,2019
Emily Cooper,21:49.4,Ann Arbor Pioneer,Indian Creek,2019
Grace Finley,21:52.9,Monroe,Indian Creek,2019
Caitlyn Donnelly,21:53.2,Ann Arbor Skyline,Indian Creek,2019
Mara Mueting,21:55.5,Ann Arbor Skyline,Indian Creek,2019
Sierra Lubetkin,22:02.1,Ann Arbor Skyline,Indian Creek,2019
Lydia Valtadoros,22:07.2,Ann Arbor Pioneer,Indian Creek,2019
Jillian Falzone,22:09.4,Temperance Bedford,Indian Creek,2019
Morgan Kay,22:13.2,Monroe,Indian Creek,2019
Carina Sanborn,22:27.6,Ann Arbor Pioneer,Indian Creek,2019
Maggie Schmidt,22:33.8,Ann Arbor Skyline,Indian Creek,2019
Mari Park,22:36.9,Ann Arbor Huron,Indian Creek,2019
Mya Orner,22:38.9,Temperance Bedford,Indian Creek,2019
Rachel Overgaard,22:41.2,Ann Arbor Huron,Indian Creek,2019
Annalise Bailey,22:45.8,Ann Arbor Skyline,Indian Creek,2019
Dana Decan,22:47.9,Ann Arbor Huron,Indian Creek,2019
Lydia Cocciolone,22:53.9,Ann Arbor Skyline,Indian Creek,2019
Chloe Gunter,23:07.4,Monroe,Indian Creek,2019
Emma McCalister,23:10.6,Monroe,Indian Creek,2019
Ally Betkey,23:42.2,Temperance Bedford,Indian Creek,2019
Hailey Winkelman,23:45.9,Monroe,Indian Creek,2019
Ashley Rathbun,23:56.9,Monroe,Indian Creek,2019
Karly Bundon,24:23.9,Monroe,Indian Creek,2019
Matilda Musser,24:27.7,Ann Arbor Huron,Indian Creek,2019
Emily Ma,24:31.8,Ann Arbor Huron,Indian Creek,2019
Ella Solomon,25:34.0,Ann Arbor Skyline,Indian Creek,2019
Sarah Forsyth,19:19.7,Ann Arbor Pioneer,Cass Benton,2018
Anna Vogel,19:35.9,Ann Arbor Pioneer,Cass Benton,2018
Kayla Fortino,19:54.4,Saline,Cass Benton,2018
Mallory Dawes,20:15.2,Ann Arbor Pioneer,Cass Benton,2018
Nicole Dillmann,20:24.8,Saline,Cass Benton,2018
Charlotte Batra,20:30.1,Ann Arbor Pioneer,Cass Benton,2018
Laura O'Brien,20:31.0,Ann Arbor Skyline,Cass Benton,2018
Madi Wood,20:35.1,Saline,Cass Benton,2018
Ella Ryan,20:37.2,Ann Arbor Pioneer,Cass Benton,2018
Taylor Yaklich,20:40.7,Saline,Cass Benton,2018
Emily Rennich,20:43.4,Ann Arbor Pioneer,Cass Benton,2018
Madison Stern,20:48.6,Saline,Cass Benton,2018
Emma Cummings,20:52.2,Saline,Cass Benton,2018
Kathryn Thornton,20:55.3,Monroe,Cass Benton,2018
Ella Woehlke,21:08.2,Saline,Cass Benton,2018
Jenna Allman,21:24.4,Saline,Cass Benton,2018
Claire Endres,21:36.2,Saline,Cass Benton,2018
Catrin Koselka,21:43.1,Ann Arbor Skyline,Cass Benton,2018
Katelyn Szafranski,21:49.5,Saline,Cass Benton,2018
Sam Hastie,21:52.2,Ann Arbor Huron,Cass Benton,2018
Helena Helme,21:55.0,Ann Arbor Huron,Cass Benton,2018
Maggie Schmidt,22:12.6,Ann Arbor Skyline,Cass Benton,2018
Analeigh Majewski,22:18.1,Temperance Bedford,Cass Benton,2018
Madeline Heinrichs,22:19.9,Temperance Bedford,Cass Benton,2018
Lillian Peck,22:38.1,Ann Arbor Skyline,Cass Benton,2018
Danielle Armstrong,22:41.8,Ann Arbor Pioneer,Cass Benton,2018
Caitlyn Donnelly,22:42.9,Ann Arbor Skyline,Cass Benton,2018
Sunniva Bakke,22:50.2,Ann Arbor Skyline,Cass Benton,2018
Carina Sanborn,22:52.7,Ann Arbor Pioneer,Cass Benton,2018
Arielle Melong,22:54.4,Ann Arbor Skyline,Cass Benton,2018
Bri Pauli,23:02.0,Temperance Bedford,Cass Benton,2018
Katrina Beardsley,23:02.5,Ann Arbor Pioneer,Cass Benton,2018
Bridgette Dudley,23:31.7,Monroe,Cass Benton,2018
Vivian Matusko,23:42.8,Ann Arbor Skyline,Cass Benton,2018
Presley Schmus,23:56.3,Temperance Bedford,Cass Benton,2018
Brooke Wise,23:58.5,Temperance Bedford,Cass Benton,2018
Mari Park,24:00.1,Ann Arbor Huron,Cass Benton,2018
Verena Wu,24:02.0,Ann Arbor Huron,Cass Benton,2018
Morgan Brossia,24:14.1,Monroe,Cass Benton,2018
Sierra Lubetkin,24:32.7,Ann Arbor Skyline,Cass Benton,2018
Zoe Solomon,24:45.8,Ann Arbor Huron,Cass Benton,2018
Ashley Rathbun,25:04.0,Monroe,Cass Benton,2018
